id,type,name,chain_id,chain_name,lat,lng,category,sub_category,store_id,address,city,state_name,state_code,country,country_code,zipcode,dma_name,dma_code,cbsa_name,cbsa_code,opening_date,closing_date,publication_date
626a8f0d2de77c002d4487ae,complex,Park Tower,,,37.79038325781733,-122.39429546913858,Workplace,Office,,250 Howard St,San Francisco,California,CA,United States,US,94105,"San Francisco-Oakland-San Jose, CA",807,"San Francisco-Oakland-Berkeley, CA Metro Area",41860,,,2024-12-06
674c542921256cfb051c0c1d,complex,WGN Studios,,,41.94866891321051,-87.69218265990085,Workplace,Office,,2501 W Bradley Pl,Chicago,Illinois,IL,United States,US,60618,"Chicago, IL",602,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",16980,,,2024-12-06
674c537f21256cfb051c0c07,complex,US Bank Tower,,,39.74762264942376,-104.99381345987831,Workplace,Office,,950 17th St,Denver,Colorado,CO,United States,US,80202,"Denver, CO",751,"Denver-Aurora-Lakewood, CO Metro Area",19740,,,2024-12-06
6513c66b23239915ee97a109,complex,101 California,,,37.79296497602287,-122.3981293618184,Workplace,Office,,101 California St,San Francisco,California,CA,United States,US,94111,"San Francisco-Oakland-San Jose, CA",807,"San Francisco-Oakland-Berkeley, CA Metro Area",41860,,,2024-12-06
6677b6ca158ab3763b8b38e7,complex,Commonwealth Centre,,,38.876393273626235,-77.44596158791448,Workplace,Office,,Newbrook Drive,,Virginia,VA,United States,US,20151,"Washington, DC (Hagerstown, MD)",511,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",47900,,,2024-12-06
674c535121256cfb051c0c01,complex,Texas Tower,,,29.7611525284972,-95.36354817206809,Workplace,Office,,909 Texas Avenue,Houston,Texas,TX,United States,US,77002,"Houston, TX",618,"Houston-The Woodlands-Sugar Land, TX Metro Area",26420,,,2024-12-06
670fa640cc0d6b8fbf078f6b,complex,717 Texas,,,29.761672025711455,-95.36429663438261,Workplace,Office,,717 Texas Ave,Houston,Texas,TX,USA,US,77002,"Houston, TX",618,"Houston-The Woodlands-Sugar Land, TX Metro Area",26420,,,2024-12-06
674c55d421256cfb051c0c55,complex,Domain Northside,,,30.406779353075912,-97.71863995999021,Workplace,Office,,11901 N Mopac Expy,Austin,Texas,TX,United States,US,78759,"Austin, TX",635,"Austin-Round Rock-Georgetown, TX Metro Area",12420,,,2024-12-06
65731daf3f1c861581774bfc,complex,Salesforce Tower Chicago,,,41.887354037510974,-87.63765612554249,Workplace,Office,,333 W Wolf Point Plaza,Chicago,Illinois,IL,United States,US,60654,"Chicago, IL",602,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",16980,,,2024-12-06
65d229180ae14d158d0392e0,complex,One Madison Avenue,,,40.740642824377595,-73.98805302826034,Workplace,Office,,24 E 23rd St,New York,New York,NY,United States,US,10010,"New York, NY",501,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",35620,,,2024-12-06
674c53fb21256cfb051c0c17,complex,250 Rio,,,33.430242733069996,-111.94278441047184,Workplace,Office,,West Rio Salado Parkway,Tempe,Arizona,AZ,United States,US,85281,"Phoenix, AZ",753,"Phoenix-Mesa-Chandler, AZ Metro Area",38060,,,2024-12-06
64bc0b5481d2a50857c03340,complex,Building at 100 South Mill Avenue,,,33.428927552199006,-111.94080177177918,Workplace,Office,,100 S. Mill Ave,Tempe,Arizona,AZ,United States,US,85251,"Phoenix, AZ",753,"Phoenix-Mesa-Chandler, AZ Metro Area",38060,,,2024-12-06
